Address,Coordinates,City,# Bedrooms,# Bathrooms,Price per bedroom,Price per apartment,Cats ok,Dogs ok,# cafes nearby,# minutes to closest cafe,# restaurants nearby,# minutes to closest restaurant,# shops nearby,# minutes to nearest bus stop,# minutes to nearest T-station,# parks nearby,# minutes to closest drugstore,# minutes to closest urgent care
14 Marlborough St,42.3538° N 71.0740° W,Boston,2,1,"$2,500","$5,000",1,0,5,3,5,2,7,2,5,3,4,9
288 Commonwealth Ave,42.3508° N 71.0827° W,Boston,3,1,"$2,400","$7,200",0,1,5,2,5,2,8,1,4,3,3,7
55 Pinckney St,42.3585° N 71.0673° W,Boston,1,1,"$2,600","$2,600",1,1,4,4,5,3,4,3,8,2,5,12
112 Charles St,42.3578° N 71.0706° W,Boston,2,1,"$2,550","$5,100",0,0,5,1,5,1,6,2,6,3,2,10
45 Union Park,42.3424° N 71.0726° W,Boston,3,2,"$2,200","$6,600",1,0,5,3,5,2,5,1,8,4,4,11
185 West Brookline St,42.3411° N 71.0754° W,Boston,4,1,"$2,100","$8,400",1,1,4,4,5,3,4,2,7,3,5,10
90 Tremont St,42.3567° N 71.0610° W,Boston,1,1,"$2,500","$2,500",0,0,5,1,5,1,8,1,2,3,2,4
342 Beacon St,42.3524° N 71.0823° W,Boston,2,1,"$2,450","$4,900",1,1,5,3,5,2,6,2,6,2,5,8
170 Newbury St,42.3499° N 71.0784° W,Boston,2,1,"$2,600","$5,200",1,0,5,1,5,1,8,1,3,2,2,6
45 Columbus Ave,42.3491° N 71.0694° W,Boston,1,1,"$2,300","$2,300",0,1,5,2,5,1,6,1,4,3,3,5
82 Chandler St,42.3458° N 71.0734° W,Boston,3,1,"$2,150","$6,450",1,1,5,3,5,2,5,2,5,2,4,8
59 Rutland Sq,42.3386° N 71.0756° W,Boston,2,1,"$2,100","$4,200",0,0,4,4,4,3,4,2,9,3,5,14
110 Mount Vernon St,42.3572° N 71.0692° W,Boston,4,2,"$2,450","$9,800",1,1,5,2,5,2,5,3,7,2,4,11
23 Joy St,42.3582° N 71.0655° W,Boston,2,1,"$2,500","$5,000",0,1,4,3,4,3,4,3,6,3,5,10
150 Boylston St,42.3520° N 71.0664° W,Boston,1,1,"$2,550","$2,550",1,0,5,1,5,1,8,1,2,3,2,3
350 Columbus Ave,42.3452° N 71.0751° W,Boston,3,1,"$2,200","$6,600",1,1,5,2,5,1,6,1,4,2,3,7
15 West Cedar St,42.3580° N 71.0700° W,Boston,2,1,"$2,500","$5,000",0,0,5,2,5,2,5,4,6,2,3,9
85 Brattle St,42.3752° N 71.1245° W,Cambridge,2,1,"$2,400","$4,800",1,1,5,3,5,2,5,2,6,3,5,12
1040 Massachusetts Ave,42.3688° N 71.1118° W,Cambridge,3,1,"$2,300","$6,900",0,1,5,1,5,1,6,1,7,2,3,9
